"source_file","id_prestasi","nim","kode_prodi","tanggal_prestasi","extract_ts","row_hash"
dummy_prestasi.csv,PR000004,20001767,P12,2021-06-19 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000070,22000690,P10,2021-11-30 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000013,20001048,P17,2020-10-09 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000032,24002018,P04,2022-02-01 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000061,24000482,P12,2021-03-06 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000065,20000686,P13,2023-07-16 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000071,21000493,P17,2022-03-10 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000033,24000359,P19,2021-12-15 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000001,22000715,P14,2020-04-08 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000102,22001435,P21,2024-09-25 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000009,24001285,P14,2020-07-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000027,24001359,P17,2022-06-06 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000060,24000913,P19,2020-07-24 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000105,24000164,P16,2024-06-28 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000046,20000159,P15,2024-03-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000089,22000020,P16,2022-03-17 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000040,24000259,P13,2022-06-23 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000010,22001291,P15,2024-05-29 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000011,23001396,P10,2023-04-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000028,23001791,P14,2020-07-04 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000039,24000971,P17,2020-02-22 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000104,21001748,P04,2022-08-30 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000034,20001325,P05,2021-11-05 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000092,22000816,P18,2024-04-01 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000084,23000734,P15,2020-01-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000099,21000379,P12,2022-07-07 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000044,21001299,P15,2020-01-29 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000045,21001653,P05,2023-05-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000100,23000437,P19,2021-09-28 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000051,21001945,P19,2022-08-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000021,22000367,P02,2021-03-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000038,24001359,P17,2023-07-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000075,21002042,P12,2024-08-18 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000098,23001778,P05,2021-08-17 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000097,22000976,P16,2023-06-25 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000003,20000994,P17,2022-09-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000073,24001366,P21,2024-09-04 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000056,23000365,P02,2020-01-01 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000049,23000941,P04,2020-05-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000017,24001522,P20,2024-12-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000076,24000363,P10,2021-03-30 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000029,22001197,P11,2021-03-15 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000035,24000997,P06,2022-11-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000025,21001239,P03,2023-01-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000057,21000083,P05,2020-05-30 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000088,22000673,P04,2023-09-05 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000047,20001838,P01,2020-01-04 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000101,23000595,P21,2021-12-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000091,20001223,P03,2021-03-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000002,20000327,P07,2020-03-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000095,20000511,P02,2023-01-19 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000103,24001820,P18,2024-08-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000019,22001159,P11,2020-12-19 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000069,24000109,P13,2022-01-15 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000058,21001150,P15,2021-08-20 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000085,22000388,P02,2021-01-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000031,21001158,P05,2022-06-21 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000022,21000351,P08,2024-02-05 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000014,24001100,P11,2020-12-28 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000086,20000508,P09,2020-12-06 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000024,22000630,P05,2021-05-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000067,24001517,P11,2021-08-16 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000052,21000274,P17,2024-10-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000053,23000554,P09,2022-02-22 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000072,21000854,P13,2020-07-30 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000087,24000465,P07,2022-02-22 00:00:00.000,2025-12-06 21:36:41.567,
