"source_file","id_anggaran","kode_prodi","total_anggaran","tahun","extract_ts","row_hash"
dummy_anggaran.csv,AG000094,P10,117086106.23,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000029,P17,99415210.75,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000096,P01,61529116.91,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000051,P16,191444824.35,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000093,P12,126979033.2,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000071,P15,64130160.2,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000043,P11,189645558.27,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000018,P02,111242917.98,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000044,P06,109061662.51,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000009,P09,59981422.27,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000101,P10,136390847.4,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000001,P05,134495507.12,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000005,P20,167937474.24,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000065,P01,172428659.41,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000082,P07,194533921.53,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000069,P11,159914852.16,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000081,P17,112864260.58,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000028,P10,79115565.08,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000072,P12,196052143.16,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000050,P18,146861917.32,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000039,P14,58505771.9,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000092,P12,87324733.35,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000089,P11,106912851.78,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000057,P07,161077519.93,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000062,P01,61102998.54,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000007,P16,194591190.05,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000070,P19,190435085.18,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000078,P15,188632129.13,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000085,P07,121709363.99,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000012,P04,192803641.58,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000056,P19,176546812.35,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000042,P09,88872229.8,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000020,P20,197121539.6,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000102,P14,149234087.13,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000030,P08,70286117.84,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000045,P19,190194009.88,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000098,P07,61260693.89,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000026,P10,181421652.49,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000063,P17,58655070.42,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000017,P06,50016534.77,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000022,P05,73598459.27,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000014,P15,80481138.99,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000068,P14,138554693.28,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000080,P21,115458988.91,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000099,P02,76525101.81,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000008,P11,162060160.15,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000075,P06,166024855.15,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000002,P02,172491252.7,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000059,P07,74278199.54,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000061,P12,69310071.41,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000054,P19,69984456.09,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000049,P01,68078275.97,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000103,P08,151567395.77,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000064,P17,139758419.63,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000087,P17,135780838.18,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000019,P15,71749364.83,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000058,P18,159054707.13,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000074,P11,119812503.56,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000036,P10,60583693.29,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000095,P12,117878708.63,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000055,P06,140750857.97,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000047,P08,100679741.55,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000021,P16,186711092.47,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000010,P08,112830457.96,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000076,P07,181828227.87,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000086,P15,172571289.98,2021,2025-12-06 21:36:41.567,
