"sk_mahasiswa","nim","nama_mahasiswa","ipk","nama_prodi","fakultas","jenjang","tahun","total_prestasi","jumlah_event","tahun_prestasi_pertama","tahun_prestasi_terbaru"
4144,21002042,Mahasiswa 4144,,Teknik Industri,FTI,S1,2024,1,1,2024,2024
4224,22000020,Mahasiswa 4224,,Teknik Mesin,FTI,S1,2022,1,1,2022,2022
4553,22000349,Mahasiswa 4553,,Rekayasa Keolahragaan,FTI,S1,2022,1,1,2022,2022
4571,22000367,Mahasiswa 4571,,Rekayasa Kehutanan,FTI,S1,2021,1,1,2021,2021
4582,22000378,Mahasiswa 4582,,Teknik Telekomunikasi,FTI,S1,2024,1,1,2024,2024
4592,22000388,Mahasiswa 4592,,Rekayasa Kehutanan,FTI,S1,2021,1,1,2021,2021
4834,22000630,Mahasiswa 4834,,Rekayasa Minyak dan Gas,FTI,S1,2021,1,1,2021,2021
4877,22000673,Mahasiswa 4877,,Rekayasa Kosmetik,FTI,S1,2023,1,1,2023,2023
4894,22000690,Mahasiswa 4894,,Teknik Geofisika,FTI,S1,2021,1,1,2021,2021
4919,22000715,Mahasiswa 4919,,Teknik Kimia,FTI,S1,2020,1,1,2020,2020
5020,22000816,Mahasiswa 5020,,Teknik Sistem Energi,FTI,S1,2024,1,1,2024,2024
5024,22000820,Mahasiswa 5024,,Teknik Industri Pertanian,FTI,S1,2022,1,1,2022,2022
5180,22000976,Mahasiswa 5180,,Teknik Mesin,FTI,S1,2023,1,1,2023,2023
5363,22001159,Mahasiswa 5363,,Teknik Geologi,FTI,S1,2020,1,1,2020,2020
5401,22001197,Mahasiswa 5401,,Teknik Geologi,FTI,S1,2021,1,1,2021,2021
5495,22001291,Mahasiswa 5495,,Teknik Material,FTI,S1,2024,1,1,2024,2024
5639,22001435,Mahasiswa 5639,,Teknologi Pangan,FTI,S1,2024,1,1,2024,2024
6545,23000239,Mahasiswa 6545,,Teknik Geologi,FTI,S1,2021,1,1,2021,2021
6547,23000241,Mahasiswa 6547,,Teknik Pertambangan,FTI,S1,2022,1,1,2022,2022
6671,23000365,Mahasiswa 6671,,Rekayasa Kehutanan,FTI,S1,2020,1,1,2020,2020
6674,23000368,Mahasiswa 6674,,Teknik Biosistem,FTI,S1,2024,1,1,2024,2024
6703,23000397,Mahasiswa 6703,,Teknik Material,FTI,S1,2023,1,1,2023,2023
6743,23000437,Mahasiswa 6743,,Teknik Telekomunikasi,FTI,S1,2021,1,1,2021,2021
6860,23000554,Mahasiswa 6860,,Teknik Fisika,FTI,S1,2022,1,1,2022,2022
6901,23000595,Mahasiswa 6901,,Teknologi Pangan,FTI,S1,2021,1,1,2021,2021
7020,23000714,Mahasiswa 7020,,Teknik Kimia,FTI,S1,2021,1,1,2021,2021
7040,23000734,Mahasiswa 7040,,Teknik Material,FTI,S1,2020,1,1,2020,2020
7089,23000783,Mahasiswa 7089,,Teknik Pertambangan,FTI,S1,2020,1,1,2020,2020
7222,23000916,Mahasiswa 7222,,Teknik Material,FTI,S1,2021,1,1,2021,2021
7247,23000941,Mahasiswa 7247,,Rekayasa Kosmetik,FTI,S1,2020,1,1,2020,2020
7310,23001004,Mahasiswa 7310,,Teknik Geofisika,FTI,S1,2022,1,1,2022,2022
7379,23001073,Mahasiswa 7379,,Teknik Telekomunikasi,FTI,S1,2022,1,1,2022,2022
7397,23001091,Mahasiswa 7397,,Teknik Biomedis,FTI,S1,2023,1,1,2023,2023
7555,23001249,Mahasiswa 7555,,Teknik Informatika,FTI,S1,2020,1,1,2020,2020
7702,23001396,Mahasiswa 7702,,Teknik Geofisika,FTI,S1,2023,1,1,2023,2023
8063,23001757,Mahasiswa 8063,,Rekayasa Kehutanan,FTI,S1,2024,1,1,2024,2024
8084,23001778,Mahasiswa 8084,,Rekayasa Minyak dan Gas,FTI,S1,2021,1,1,2021,2021
8097,23001791,Mahasiswa 8097,,Teknik Kimia,FTI,S1,2020,1,1,2020,2020
8291,23001985,Mahasiswa 8291,,Rekayasa Minyak dan Gas,FTI,S1,2020,1,1,2020,2020
8517,24000109,Mahasiswa 8517,,Teknik Informatika,FTI,S1,2022,1,1,2022,2022
8572,24000164,Mahasiswa 8572,,Teknik Mesin,FTI,S1,2024,1,1,2024,2024
8638,24000230,Mahasiswa 8638,,Teknik Mesin,FTI,S1,2023,1,1,2023,2023
8667,24000259,Mahasiswa 8667,,Teknik Informatika,FTI,S1,2022,1,1,2022,2022
8767,24000359,Mahasiswa 8767,,Teknik Telekomunikasi,FTI,S1,2021,1,1,2021,2021
8771,24000363,Mahasiswa 8771,,Teknik Geofisika,FTI,S1,2021,1,1,2021,2021
8873,24000465,Mahasiswa 8873,,Teknik Biosistem,FTI,S1,2022,1,1,2022,2022
8890,24000482,Mahasiswa 8890,,Teknik Industri,FTI,S1,2021,1,1,2021,2021
9264,24000856,Mahasiswa 9264,,Rekayasa Kehutanan,FTI,S1,2021,1,1,2021,2021
9321,24000913,Mahasiswa 9321,,Teknik Telekomunikasi,FTI,S1,2020,1,1,2020,2020
9373,24000965,Mahasiswa 9373,,Teknik Informatika,FTI,S1,2021,1,1,2021,2021
9379,24000971,Mahasiswa 9379,,Teknik Pertambangan,FTI,S1,2020,1,1,2020,2020
9405,24000997,Mahasiswa 9405,,Teknik Biomedis,FTI,S1,2022,1,1,2022,2022
9508,24001100,Mahasiswa 9508,,Teknik Geologi,FTI,S1,2020,1,1,2020,2020
9543,24001135,Mahasiswa 9543,,Rekayasa Kehutanan,FTI,S1,2023,1,1,2023,2023
9604,24001196,Mahasiswa 9604,,Teknik Informatika,FTI,S1,2024,1,1,2024,2024
9636,24001228,Mahasiswa 9636,,Teknologi Pangan,FTI,S1,2021,1,1,2021,2021
9693,24001285,Mahasiswa 9693,,Teknik Kimia,FTI,S1,2020,1,1,2020,2020
9767,24001359,Mahasiswa 9767,,Teknik Pertambangan,FTI,S1,2022,1,1,2022,2023
9767,24001359,Mahasiswa 9767,,Teknik Pertambangan,FTI,S1,2023,1,1,2022,2023
9774,24001366,Mahasiswa 9774,,Teknologi Pangan,FTI,S1,2024,1,1,2024,2024
9925,24001517,Mahasiswa 9925,,Teknik Geologi,FTI,S1,2021,1,1,2021,2021
9930,24001522,Mahasiswa 9930,,Teknik Industri Pertanian,FTI,S1,2024,1,1,2024,2024
9947,24001539,Mahasiswa 9947,,Teknik Fisika,FTI,S1,2021,1,1,2021,2021
10228,24001820,Mahasiswa 10228,,Teknik Sistem Energi,FTI,S1,2024,1,1,2024,2024
10426,24002018,Mahasiswa 10426,,Rekayasa Kosmetik,FTI,S1,2022,1,1,2022,2022
