"sk_waktu","tanggal","tahun","semester","bulan","nama_bulan"
20200229,2020-02-29 00:00:00.000,2020,Genap,2,February
20200301,2020-03-01 00:00:00.000,2020,Genap,3,March
20200302,2020-03-02 00:00:00.000,2020,Genap,3,March
20200303,2020-03-03 00:00:00.000,2020,Genap,3,March
20200304,2020-03-04 00:00:00.000,2020,Genap,3,March
20200305,2020-03-05 00:00:00.000,2020,Genap,3,March
20200306,2020-03-06 00:00:00.000,2020,Genap,3,March
20200307,2020-03-07 00:00:00.000,2020,Genap,3,March
20200308,2020-03-08 00:00:00.000,2020,Genap,3,March
20200309,2020-03-09 00:00:00.000,2020,Genap,3,March
20200310,2020-03-10 00:00:00.000,2020,Genap,3,March
20200311,2020-03-11 00:00:00.000,2020,Genap,3,March
20200312,2020-03-12 00:00:00.000,2020,Genap,3,March
20200313,2020-03-13 00:00:00.000,2020,Genap,3,March
20200314,2020-03-14 00:00:00.000,2020,Genap,3,March
20200315,2020-03-15 00:00:00.000,2020,Genap,3,March
20200316,2020-03-16 00:00:00.000,2020,Genap,3,March
20200317,2020-03-17 00:00:00.000,2020,Genap,3,March
20200318,2020-03-18 00:00:00.000,2020,Genap,3,March
20200319,2020-03-19 00:00:00.000,2020,Genap,3,March
20200320,2020-03-20 00:00:00.000,2020,Genap,3,March
20200321,2020-03-21 00:00:00.000,2020,Genap,3,March
20200322,2020-03-22 00:00:00.000,2020,Genap,3,March
20200323,2020-03-23 00:00:00.000,2020,Genap,3,March
20200324,2020-03-24 00:00:00.000,2020,Genap,3,March
20200325,2020-03-25 00:00:00.000,2020,Genap,3,March
20200326,2020-03-26 00:00:00.000,2020,Genap,3,March
20200327,2020-03-27 00:00:00.000,2020,Genap,3,March
20200328,2020-03-28 00:00:00.000,2020,Genap,3,March
20200329,2020-03-29 00:00:00.000,2020,Genap,3,March
20200330,2020-03-30 00:00:00.000,2020,Genap,3,March
20200331,2020-03-31 00:00:00.000,2020,Genap,3,March
20200401,2020-04-01 00:00:00.000,2020,Genap,4,April
20200402,2020-04-02 00:00:00.000,2020,Genap,4,April
20200403,2020-04-03 00:00:00.000,2020,Genap,4,April
20200404,2020-04-04 00:00:00.000,2020,Genap,4,April
20200405,2020-04-05 00:00:00.000,2020,Genap,4,April
20200406,2020-04-06 00:00:00.000,2020,Genap,4,April
20200407,2020-04-07 00:00:00.000,2020,Genap,4,April
20200408,2020-04-08 00:00:00.000,2020,Genap,4,April
20200409,2020-04-09 00:00:00.000,2020,Genap,4,April
20200410,2020-04-10 00:00:00.000,2020,Genap,4,April
20200411,2020-04-11 00:00:00.000,2020,Genap,4,April
20200412,2020-04-12 00:00:00.000,2020,Genap,4,April
20200413,2020-04-13 00:00:00.000,2020,Genap,4,April
20200414,2020-04-14 00:00:00.000,2020,Genap,4,April
20200415,2020-04-15 00:00:00.000,2020,Genap,4,April
20200416,2020-04-16 00:00:00.000,2020,Genap,4,April
20200417,2020-04-17 00:00:00.000,2020,Genap,4,April
20200418,2020-04-18 00:00:00.000,2020,Genap,4,April
20200419,2020-04-19 00:00:00.000,2020,Genap,4,April
20200420,2020-04-20 00:00:00.000,2020,Genap,4,April
20200421,2020-04-21 00:00:00.000,2020,Genap,4,April
20200422,2020-04-22 00:00:00.000,2020,Genap,4,April
20200423,2020-04-23 00:00:00.000,2020,Genap,4,April
20200424,2020-04-24 00:00:00.000,2020,Genap,4,April
20200425,2020-04-25 00:00:00.000,2020,Genap,4,April
20200426,2020-04-26 00:00:00.000,2020,Genap,4,April
20200427,2020-04-27 00:00:00.000,2020,Genap,4,April
20200428,2020-04-28 00:00:00.000,2020,Genap,4,April
20200429,2020-04-29 00:00:00.000,2020,Genap,4,April
20200430,2020-04-30 00:00:00.000,2020,Genap,4,April
20200501,2020-05-01 00:00:00.000,2020,Genap,5,May
20200502,2020-05-02 00:00:00.000,2020,Genap,5,May
20200503,2020-05-03 00:00:00.000,2020,Genap,5,May
20200504,2020-05-04 00:00:00.000,2020,Genap,5,May
20200505,2020-05-05 00:00:00.000,2020,Genap,5,May
20200506,2020-05-06 00:00:00.000,2020,Genap,5,May
20200507,2020-05-07 00:00:00.000,2020,Genap,5,May
20200508,2020-05-08 00:00:00.000,2020,Genap,5,May
20200509,2020-05-09 00:00:00.000,2020,Genap,5,May
20200510,2020-05-10 00:00:00.000,2020,Genap,5,May
20200511,2020-05-11 00:00:00.000,2020,Genap,5,May
20200512,2020-05-12 00:00:00.000,2020,Genap,5,May
20200513,2020-05-13 00:00:00.000,2020,Genap,5,May
20200514,2020-05-14 00:00:00.000,2020,Genap,5,May
20200515,2020-05-15 00:00:00.000,2020,Genap,5,May
20200516,2020-05-16 00:00:00.000,2020,Genap,5,May
20200517,2020-05-17 00:00:00.000,2020,Genap,5,May
20200518,2020-05-18 00:00:00.000,2020,Genap,5,May
20200519,2020-05-19 00:00:00.000,2020,Genap,5,May
20200520,2020-05-20 00:00:00.000,2020,Genap,5,May
20200521,2020-05-21 00:00:00.000,2020,Genap,5,May
20200522,2020-05-22 00:00:00.000,2020,Genap,5,May
20200523,2020-05-23 00:00:00.000,2020,Genap,5,May
20200524,2020-05-24 00:00:00.000,2020,Genap,5,May
20200525,2020-05-25 00:00:00.000,2020,Genap,5,May
20200526,2020-05-26 00:00:00.000,2020,Genap,5,May
20200527,2020-05-27 00:00:00.000,2020,Genap,5,May
20200528,2020-05-28 00:00:00.000,2020,Genap,5,May
20200529,2020-05-29 00:00:00.000,2020,Genap,5,May
20200530,2020-05-30 00:00:00.000,2020,Genap,5,May
20200531,2020-05-31 00:00:00.000,2020,Genap,5,May
20200601,2020-06-01 00:00:00.000,2020,Genap,6,June
20200602,2020-06-02 00:00:00.000,2020,Genap,6,June
20200603,2020-06-03 00:00:00.000,2020,Genap,6,June
20200604,2020-06-04 00:00:00.000,2020,Genap,6,June
20200605,2020-06-05 00:00:00.000,2020,Genap,6,June
20200606,2020-06-06 00:00:00.000,2020,Genap,6,June
20200607,2020-06-07 00:00:00.000,2020,Genap,6,June
20200608,2020-06-08 00:00:00.000,2020,Genap,6,June
20200609,2020-06-09 00:00:00.000,2020,Genap,6,June
20200610,2020-06-10 00:00:00.000,2020,Genap,6,June
20200611,2020-06-11 00:00:00.000,2020,Genap,6,June
20200612,2020-06-12 00:00:00.000,2020,Genap,6,June
20200613,2020-06-13 00:00:00.000,2020,Genap,6,June
20200614,2020-06-14 00:00:00.000,2020,Genap,6,June
20200615,2020-06-15 00:00:00.000,2020,Genap,6,June
20200616,2020-06-16 00:00:00.000,2020,Genap,6,June
20200617,2020-06-17 00:00:00.000,2020,Genap,6,June
20200618,2020-06-18 00:00:00.000,2020,Genap,6,June
20200619,2020-06-19 00:00:00.000,2020,Genap,6,June
20200620,2020-06-20 00:00:00.000,2020,Genap,6,June
20200621,2020-06-21 00:00:00.000,2020,Genap,6,June
20200622,2020-06-22 00:00:00.000,2020,Genap,6,June
20200623,2020-06-23 00:00:00.000,2020,Genap,6,June
20200624,2020-06-24 00:00:00.000,2020,Genap,6,June
20200625,2020-06-25 00:00:00.000,2020,Genap,6,June
20200626,2020-06-26 00:00:00.000,2020,Genap,6,June
20200627,2020-06-27 00:00:00.000,2020,Genap,6,June
20200628,2020-06-28 00:00:00.000,2020,Genap,6,June
20200629,2020-06-29 00:00:00.000,2020,Genap,6,June
20200630,2020-06-30 00:00:00.000,2020,Genap,6,June
20200701,2020-07-01 00:00:00.000,2020,Ganjil,7,July
20200702,2020-07-02 00:00:00.000,2020,Ganjil,7,July
20200703,2020-07-03 00:00:00.000,2020,Ganjil,7,July
20200704,2020-07-04 00:00:00.000,2020,Ganjil,7,July
20200705,2020-07-05 00:00:00.000,2020,Ganjil,7,July
20200706,2020-07-06 00:00:00.000,2020,Ganjil,7,July
20200707,2020-07-07 00:00:00.000,2020,Ganjil,7,July
20200708,2020-07-08 00:00:00.000,2020,Ganjil,7,July
20200709,2020-07-09 00:00:00.000,2020,Ganjil,7,July
20200710,2020-07-10 00:00:00.000,2020,Ganjil,7,July
20200711,2020-07-11 00:00:00.000,2020,Ganjil,7,July
20200712,2020-07-12 00:00:00.000,2020,Ganjil,7,July
20200713,2020-07-13 00:00:00.000,2020,Ganjil,7,July
20200714,2020-07-14 00:00:00.000,2020,Ganjil,7,July
20200715,2020-07-15 00:00:00.000,2020,Ganjil,7,July
20200716,2020-07-16 00:00:00.000,2020,Ganjil,7,July
20200717,2020-07-17 00:00:00.000,2020,Ganjil,7,July
20200718,2020-07-18 00:00:00.000,2020,Ganjil,7,July
20200719,2020-07-19 00:00:00.000,2020,Ganjil,7,July
20200720,2020-07-20 00:00:00.000,2020,Ganjil,7,July
20200721,2020-07-21 00:00:00.000,2020,Ganjil,7,July
20200722,2020-07-22 00:00:00.000,2020,Ganjil,7,July
20200723,2020-07-23 00:00:00.000,2020,Ganjil,7,July
20200724,2020-07-24 00:00:00.000,2020,Ganjil,7,July
20200725,2020-07-25 00:00:00.000,2020,Ganjil,7,July
20200726,2020-07-26 00:00:00.000,2020,Ganjil,7,July
20200727,2020-07-27 00:00:00.000,2020,Ganjil,7,July
20200728,2020-07-28 00:00:00.000,2020,Ganjil,7,July
20200729,2020-07-29 00:00:00.000,2020,Ganjil,7,July
20200730,2020-07-30 00:00:00.000,2020,Ganjil,7,July
20200731,2020-07-31 00:00:00.000,2020,Ganjil,7,July
20200801,2020-08-01 00:00:00.000,2020,Ganjil,8,August
20200802,2020-08-02 00:00:00.000,2020,Ganjil,8,August
20200803,2020-08-03 00:00:00.000,2020,Ganjil,8,August
20200804,2020-08-04 00:00:00.000,2020,Ganjil,8,August
20200805,2020-08-05 00:00:00.000,2020,Ganjil,8,August
20200806,2020-08-06 00:00:00.000,2020,Ganjil,8,August
20200807,2020-08-07 00:00:00.000,2020,Ganjil,8,August
20200808,2020-08-08 00:00:00.000,2020,Ganjil,8,August
20200809,2020-08-09 00:00:00.000,2020,Ganjil,8,August
20200810,2020-08-10 00:00:00.000,2020,Ganjil,8,August
20200811,2020-08-11 00:00:00.000,2020,Ganjil,8,August
20200812,2020-08-12 00:00:00.000,2020,Ganjil,8,August
20200813,2020-08-13 00:00:00.000,2020,Ganjil,8,August
20200814,2020-08-14 00:00:00.000,2020,Ganjil,8,August
20200815,2020-08-15 00:00:00.000,2020,Ganjil,8,August
20200816,2020-08-16 00:00:00.000,2020,Ganjil,8,August
20200817,2020-08-17 00:00:00.000,2020,Ganjil,8,August
20200818,2020-08-18 00:00:00.000,2020,Ganjil,8,August
20200819,2020-08-19 00:00:00.000,2020,Ganjil,8,August
20200820,2020-08-20 00:00:00.000,2020,Ganjil,8,August
20200821,2020-08-21 00:00:00.000,2020,Ganjil,8,August
20200822,2020-08-22 00:00:00.000,2020,Ganjil,8,August
20200823,2020-08-23 00:00:00.000,2020,Ganjil,8,August
20200824,2020-08-24 00:00:00.000,2020,Ganjil,8,August
20200825,2020-08-25 00:00:00.000,2020,Ganjil,8,August
20200826,2020-08-26 00:00:00.000,2020,Ganjil,8,August
20200827,2020-08-27 00:00:00.000,2020,Ganjil,8,August
20200828,2020-08-28 00:00:00.000,2020,Ganjil,8,August
20200829,2020-08-29 00:00:00.000,2020,Ganjil,8,August
20200830,2020-08-30 00:00:00.000,2020,Ganjil,8,August
20200831,2020-08-31 00:00:00.000,2020,Ganjil,8,August
20200901,2020-09-01 00:00:00.000,2020,Ganjil,9,September
20200902,2020-09-02 00:00:00.000,2020,Ganjil,9,September
20200903,2020-09-03 00:00:00.000,2020,Ganjil,9,September
20200904,2020-09-04 00:00:00.000,2020,Ganjil,9,September
20200905,2020-09-05 00:00:00.000,2020,Ganjil,9,September
20200906,2020-09-06 00:00:00.000,2020,Ganjil,9,September
20200907,2020-09-07 00:00:00.000,2020,Ganjil,9,September
20200908,2020-09-08 00:00:00.000,2020,Ganjil,9,September
20200909,2020-09-09 00:00:00.000,2020,Ganjil,9,September
20200910,2020-09-10 00:00:00.000,2020,Ganjil,9,September
20200911,2020-09-11 00:00:00.000,2020,Ganjil,9,September
20200912,2020-09-12 00:00:00.000,2020,Ganjil,9,September
20200913,2020-09-13 00:00:00.000,2020,Ganjil,9,September
20200914,2020-09-14 00:00:00.000,2020,Ganjil,9,September
20200915,2020-09-15 00:00:00.000,2020,Ganjil,9,September
20200916,2020-09-16 00:00:00.000,2020,Ganjil,9,September
20200917,2020-09-17 00:00:00.000,2020,Ganjil,9,September
20200918,2020-09-18 00:00:00.000,2020,Ganjil,9,September
20200919,2020-09-19 00:00:00.000,2020,Ganjil,9,September
20200920,2020-09-20 00:00:00.000,2020,Ganjil,9,September
20200921,2020-09-21 00:00:00.000,2020,Ganjil,9,September
20200922,2020-09-22 00:00:00.000,2020,Ganjil,9,September
20200923,2020-09-23 00:00:00.000,2020,Ganjil,9,September
20200924,2020-09-24 00:00:00.000,2020,Ganjil,9,September
20200925,2020-09-25 00:00:00.000,2020,Ganjil,9,September
20200926,2020-09-26 00:00:00.000,2020,Ganjil,9,September
20200927,2020-09-27 00:00:00.000,2020,Ganjil,9,September
20200928,2020-09-28 00:00:00.000,2020,Ganjil,9,September
20200929,2020-09-29 00:00:00.000,2020,Ganjil,9,September
20200930,2020-09-30 00:00:00.000,2020,Ganjil,9,September
20201001,2020-10-01 00:00:00.000,2020,Ganjil,10,October
20201002,2020-10-02 00:00:00.000,2020,Ganjil,10,October
20201003,2020-10-03 00:00:00.000,2020,Ganjil,10,October
20201004,2020-10-04 00:00:00.000,2020,Ganjil,10,October
20201005,2020-10-05 00:00:00.000,2020,Ganjil,10,October
20201006,2020-10-06 00:00:00.000,2020,Ganjil,10,October
20201007,2020-10-07 00:00:00.000,2020,Ganjil,10,October
20201008,2020-10-08 00:00:00.000,2020,Ganjil,10,October
20201009,2020-10-09 00:00:00.000,2020,Ganjil,10,October
20201010,2020-10-10 00:00:00.000,2020,Ganjil,10,October
20201011,2020-10-11 00:00:00.000,2020,Ganjil,10,October
20201012,2020-10-12 00:00:00.000,2020,Ganjil,10,October
20201013,2020-10-13 00:00:00.000,2020,Ganjil,10,October
20201014,2020-10-14 00:00:00.000,2020,Ganjil,10,October
20201015,2020-10-15 00:00:00.000,2020,Ganjil,10,October
20201016,2020-10-16 00:00:00.000,2020,Ganjil,10,October
20201017,2020-10-17 00:00:00.000,2020,Ganjil,10,October
20201018,2020-10-18 00:00:00.000,2020,Ganjil,10,October
20201019,2020-10-19 00:00:00.000,2020,Ganjil,10,October
20201020,2020-10-20 00:00:00.000,2020,Ganjil,10,October
20201021,2020-10-21 00:00:00.000,2020,Ganjil,10,October
20201022,2020-10-22 00:00:00.000,2020,Ganjil,10,October
20201023,2020-10-23 00:00:00.000,2020,Ganjil,10,October
20201024,2020-10-24 00:00:00.000,2020,Ganjil,10,October
20201025,2020-10-25 00:00:00.000,2020,Ganjil,10,October
20201026,2020-10-26 00:00:00.000,2020,Ganjil,10,October
20201027,2020-10-27 00:00:00.000,2020,Ganjil,10,October
20201028,2020-10-28 00:00:00.000,2020,Ganjil,10,October
20201029,2020-10-29 00:00:00.000,2020,Ganjil,10,October
20201030,2020-10-30 00:00:00.000,2020,Ganjil,10,October
20201031,2020-10-31 00:00:00.000,2020,Ganjil,10,October
20201101,2020-11-01 00:00:00.000,2020,Ganjil,11,November
20201102,2020-11-02 00:00:00.000,2020,Ganjil,11,November
20201103,2020-11-03 00:00:00.000,2020,Ganjil,11,November
20201104,2020-11-04 00:00:00.000,2020,Ganjil,11,November
20201105,2020-11-05 00:00:00.000,2020,Ganjil,11,November
20201106,2020-11-06 00:00:00.000,2020,Ganjil,11,November
20201107,2020-11-07 00:00:00.000,2020,Ganjil,11,November
20201108,2020-11-08 00:00:00.000,2020,Ganjil,11,November
20201109,2020-11-09 00:00:00.000,2020,Ganjil,11,November
20201110,2020-11-10 00:00:00.000,2020,Ganjil,11,November
20201111,2020-11-11 00:00:00.000,2020,Ganjil,11,November
20201112,2020-11-12 00:00:00.000,2020,Ganjil,11,November
20201113,2020-11-13 00:00:00.000,2020,Ganjil,11,November
20201114,2020-11-14 00:00:00.000,2020,Ganjil,11,November
20201115,2020-11-15 00:00:00.000,2020,Ganjil,11,November
20201116,2020-11-16 00:00:00.000,2020,Ganjil,11,November
20201117,2020-11-17 00:00:00.000,2020,Ganjil,11,November
20201118,2020-11-18 00:00:00.000,2020,Ganjil,11,November
20201119,2020-11-19 00:00:00.000,2020,Ganjil,11,November
20201120,2020-11-20 00:00:00.000,2020,Ganjil,11,November
20201121,2020-11-21 00:00:00.000,2020,Ganjil,11,November
20201122,2020-11-22 00:00:00.000,2020,Ganjil,11,November
20201123,2020-11-23 00:00:00.000,2020,Ganjil,11,November
20201124,2020-11-24 00:00:00.000,2020,Ganjil,11,November
20201125,2020-11-25 00:00:00.000,2020,Ganjil,11,November
20201126,2020-11-26 00:00:00.000,2020,Ganjil,11,November
20201127,2020-11-27 00:00:00.000,2020,Ganjil,11,November
20201128,2020-11-28 00:00:00.000,2020,Ganjil,11,November
20201129,2020-11-29 00:00:00.000,2020,Ganjil,11,November
20201130,2020-11-30 00:00:00.000,2020,Ganjil,11,November
20201201,2020-12-01 00:00:00.000,2020,Ganjil,12,December
20201202,2020-12-02 00:00:00.000,2020,Ganjil,12,December
20201203,2020-12-03 00:00:00.000,2020,Ganjil,12,December
20201204,2020-12-04 00:00:00.000,2020,Ganjil,12,December
20201205,2020-12-05 00:00:00.000,2020,Ganjil,12,December
20201206,2020-12-06 00:00:00.000,2020,Ganjil,12,December
20201207,2020-12-07 00:00:00.000,2020,Ganjil,12,December
20201208,2020-12-08 00:00:00.000,2020,Ganjil,12,December
20201209,2020-12-09 00:00:00.000,2020,Ganjil,12,December
20201210,2020-12-10 00:00:00.000,2020,Ganjil,12,December
20201211,2020-12-11 00:00:00.000,2020,Ganjil,12,December
20201212,2020-12-12 00:00:00.000,2020,Ganjil,12,December
20201213,2020-12-13 00:00:00.000,2020,Ganjil,12,December
20201214,2020-12-14 00:00:00.000,2020,Ganjil,12,December
20201215,2020-12-15 00:00:00.000,2020,Ganjil,12,December
20201216,2020-12-16 00:00:00.000,2020,Ganjil,12,December
20201217,2020-12-17 00:00:00.000,2020,Ganjil,12,December
20201218,2020-12-18 00:00:00.000,2020,Ganjil,12,December
20201219,2020-12-19 00:00:00.000,2020,Ganjil,12,December
20201220,2020-12-20 00:00:00.000,2020,Ganjil,12,December
20201221,2020-12-21 00:00:00.000,2020,Ganjil,12,December
20201222,2020-12-22 00:00:00.000,2020,Ganjil,12,December
20201223,2020-12-23 00:00:00.000,2020,Ganjil,12,December
20201224,2020-12-24 00:00:00.000,2020,Ganjil,12,December
20201225,2020-12-25 00:00:00.000,2020,Ganjil,12,December
20201226,2020-12-26 00:00:00.000,2020,Ganjil,12,December
20201227,2020-12-27 00:00:00.000,2020,Ganjil,12,December
20201228,2020-12-28 00:00:00.000,2020,Ganjil,12,December
20201229,2020-12-29 00:00:00.000,2020,Ganjil,12,December
20201230,2020-12-30 00:00:00.000,2020,Ganjil,12,December
20201231,2020-12-31 00:00:00.000,2020,Ganjil,12,December
20210101,2021-01-01 00:00:00.000,2021,Genap,1,January
20210102,2021-01-02 00:00:00.000,2021,Genap,1,January
20210103,2021-01-03 00:00:00.000,2021,Genap,1,January
20210104,2021-01-04 00:00:00.000,2021,Genap,1,January
20210105,2021-01-05 00:00:00.000,2021,Genap,1,January
20210106,2021-01-06 00:00:00.000,2021,Genap,1,January
20210107,2021-01-07 00:00:00.000,2021,Genap,1,January
20210108,2021-01-08 00:00:00.000,2021,Genap,1,January
20210109,2021-01-09 00:00:00.000,2021,Genap,1,January
20210110,2021-01-10 00:00:00.000,2021,Genap,1,January
20210111,2021-01-11 00:00:00.000,2021,Genap,1,January
20210112,2021-01-12 00:00:00.000,2021,Genap,1,January
20210113,2021-01-13 00:00:00.000,2021,Genap,1,January
20210114,2021-01-14 00:00:00.000,2021,Genap,1,January
20210115,2021-01-15 00:00:00.000,2021,Genap,1,January
20210116,2021-01-16 00:00:00.000,2021,Genap,1,January
20210117,2021-01-17 00:00:00.000,2021,Genap,1,January
20210118,2021-01-18 00:00:00.000,2021,Genap,1,January
20210119,2021-01-19 00:00:00.000,2021,Genap,1,January
20210120,2021-01-20 00:00:00.000,2021,Genap,1,January
20210121,2021-01-21 00:00:00.000,2021,Genap,1,January
20210122,2021-01-22 00:00:00.000,2021,Genap,1,January
20210123,2021-01-23 00:00:00.000,2021,Genap,1,January
20210124,2021-01-24 00:00:00.000,2021,Genap,1,January
20210125,2021-01-25 00:00:00.000,2021,Genap,1,January
20210126,2021-01-26 00:00:00.000,2021,Genap,1,January
20210127,2021-01-27 00:00:00.000,2021,Genap,1,January
20210128,2021-01-28 00:00:00.000,2021,Genap,1,January
20210129,2021-01-29 00:00:00.000,2021,Genap,1,January
20210130,2021-01-30 00:00:00.000,2021,Genap,1,January
20210131,2021-01-31 00:00:00.000,2021,Genap,1,January
20210201,2021-02-01 00:00:00.000,2021,Genap,2,February
20210202,2021-02-02 00:00:00.000,2021,Genap,2,February
20210203,2021-02-03 00:00:00.000,2021,Genap,2,February
20210204,2021-02-04 00:00:00.000,2021,Genap,2,February
20210205,2021-02-05 00:00:00.000,2021,Genap,2,February
20210206,2021-02-06 00:00:00.000,2021,Genap,2,February
20210207,2021-02-07 00:00:00.000,2021,Genap,2,February
20210208,2021-02-08 00:00:00.000,2021,Genap,2,February
20210209,2021-02-09 00:00:00.000,2021,Genap,2,February
20210210,2021-02-10 00:00:00.000,2021,Genap,2,February
20210211,2021-02-11 00:00:00.000,2021,Genap,2,February
20210212,2021-02-12 00:00:00.000,2021,Genap,2,February
20210213,2021-02-13 00:00:00.000,2021,Genap,2,February
20210214,2021-02-14 00:00:00.000,2021,Genap,2,February
20210215,2021-02-15 00:00:00.000,2021,Genap,2,February
20210216,2021-02-16 00:00:00.000,2021,Genap,2,February
20210217,2021-02-17 00:00:00.000,2021,Genap,2,February
20210218,2021-02-18 00:00:00.000,2021,Genap,2,February
20210219,2021-02-19 00:00:00.000,2021,Genap,2,February
20210220,2021-02-20 00:00:00.000,2021,Genap,2,February
20210221,2021-02-21 00:00:00.000,2021,Genap,2,February
20210222,2021-02-22 00:00:00.000,2021,Genap,2,February
20210223,2021-02-23 00:00:00.000,2021,Genap,2,February
20210224,2021-02-24 00:00:00.000,2021,Genap,2,February
20210225,2021-02-25 00:00:00.000,2021,Genap,2,February
20210226,2021-02-26 00:00:00.000,2021,Genap,2,February
20210227,2021-02-27 00:00:00.000,2021,Genap,2,February
20210228,2021-02-28 00:00:00.000,2021,Genap,2,February
20210301,2021-03-01 00:00:00.000,2021,Genap,3,March
20210302,2021-03-02 00:00:00.000,2021,Genap,3,March
20210303,2021-03-03 00:00:00.000,2021,Genap,3,March
20210304,2021-03-04 00:00:00.000,2021,Genap,3,March
20210305,2021-03-05 00:00:00.000,2021,Genap,3,March
20210306,2021-03-06 00:00:00.000,2021,Genap,3,March
20210307,2021-03-07 00:00:00.000,2021,Genap,3,March
20210308,2021-03-08 00:00:00.000,2021,Genap,3,March
20210309,2021-03-09 00:00:00.000,2021,Genap,3,March
20210310,2021-03-10 00:00:00.000,2021,Genap,3,March
20210311,2021-03-11 00:00:00.000,2021,Genap,3,March
20210312,2021-03-12 00:00:00.000,2021,Genap,3,March
20210313,2021-03-13 00:00:00.000,2021,Genap,3,March
20210314,2021-03-14 00:00:00.000,2021,Genap,3,March
20210315,2021-03-15 00:00:00.000,2021,Genap,3,March
20210316,2021-03-16 00:00:00.000,2021,Genap,3,March
20210317,2021-03-17 00:00:00.000,2021,Genap,3,March
20210318,2021-03-18 00:00:00.000,2021,Genap,3,March
20210319,2021-03-19 00:00:00.000,2021,Genap,3,March
20210320,2021-03-20 00:00:00.000,2021,Genap,3,March
20210321,2021-03-21 00:00:00.000,2021,Genap,3,March
20210322,2021-03-22 00:00:00.000,2021,Genap,3,March
20210323,2021-03-23 00:00:00.000,2021,Genap,3,March
20210324,2021-03-24 00:00:00.000,2021,Genap,3,March
20210325,2021-03-25 00:00:00.000,2021,Genap,3,March
20210326,2021-03-26 00:00:00.000,2021,Genap,3,March
20210327,2021-03-27 00:00:00.000,2021,Genap,3,March
