"sk_anggaran","id_anggaran","kategori","keterangan","created_date"
92,AG000092,Beasiswa,Deskripsi anggaran 92,2025-12-06 21:36:41.553
93,AG000093,Penelitian,Deskripsi anggaran 93,2025-12-06 21:36:41.553
94,AG000094,Penelitian,Deskripsi anggaran 94,2025-12-06 21:36:41.553
95,AG000095,Penelitian,Deskripsi anggaran 95,2025-12-06 21:36:41.553
96,AG000096,Penelitian,Deskripsi anggaran 96,2025-12-06 21:36:41.553
97,AG000097,Beasiswa,Deskripsi anggaran 97,2025-12-06 21:36:41.553
98,AG000098,Operasional,Deskripsi anggaran 98,2025-12-06 21:36:41.553
99,AG000099,Beasiswa,Deskripsi anggaran 99,2025-12-06 21:36:41.553
100,AG000100,Beasiswa,Deskripsi anggaran 100,2025-12-06 21:36:41.553
101,AG000101,Hibah,Deskripsi anggaran 101,2025-12-06 21:36:41.553
102,AG000102,Operasional,Deskripsi anggaran 102,2025-12-06 21:36:41.553
103,AG000103,Penelitian,Deskripsi anggaran 103,2025-12-06 21:36:41.553
104,AG000104,Operasional,Deskripsi anggaran 104,2025-12-06 21:36:41.553
105,AG000105,Hibah,Deskripsi anggaran 105,2025-12-06 21:36:41.553
