"sk_anggaran","sk_prodi","sk_waktu","total_anggaran","created_date"
73,18,20241216,147359037.59,2025-12-06 21:36:41.560
74,11,20230901,119812503.56,2025-12-06 21:36:41.560
75,6,20210925,166024855.15,2025-12-06 21:36:41.560
76,7,20240413,181828227.87,2025-12-06 21:36:41.560
77,3,20210416,112089284.91,2025-12-06 21:36:41.560
78,15,20220724,188632129.13,2025-12-06 21:36:41.560
79,8,20230323,72686044.42,2025-12-06 21:36:41.560
80,21,20220513,115458988.91,2025-12-06 21:36:41.560
81,17,20230730,112864260.58,2025-12-06 21:36:41.560
82,7,20241020,194533921.53,2025-12-06 21:36:41.560
83,19,20230810,99144569.25,2025-12-06 21:36:41.560
84,20,20200721,60691611.18,2025-12-06 21:36:41.560
85,7,20210530,121709363.99,2025-12-06 21:36:41.560
86,15,20210616,172571289.98,2025-12-06 21:36:41.560
87,17,20200416,135780838.18,2025-12-06 21:36:41.560
88,12,20221110,122083903.15,2025-12-06 21:36:41.560
89,11,20201226,106912851.78,2025-12-06 21:36:41.560
90,4,20240509,94110673.88,2025-12-06 21:36:41.560
91,4,20241129,118766510.05,2025-12-06 21:36:41.560
92,12,20210705,87324733.35,2025-12-06 21:36:41.560
93,12,20240623,126979033.2,2025-12-06 21:36:41.560
94,10,20211220,117086106.23,2025-12-06 21:36:41.560
95,12,20200405,117878708.63,2025-12-06 21:36:41.560
96,1,20200322,61529116.91,2025-12-06 21:36:41.560
97,5,20200618,91263056.91,2025-12-06 21:36:41.560
98,7,20211110,61260693.89,2025-12-06 21:36:41.560
99,2,20200220,76525101.81,2025-12-06 21:36:41.560
100,10,20200415,155374935.98,2025-12-06 21:36:41.560
101,10,20220112,136390847.4,2025-12-06 21:36:41.560
102,14,20200203,149234087.13,2025-12-06 21:36:41.560
103,8,20240812,151567395.77,2025-12-06 21:36:41.560
104,17,20211009,58835377.28,2025-12-06 21:36:41.560
105,14,20220805,163224115.8,2025-12-06 21:36:41.560
